stationId,utc_time,PM2.5,PM10,NO2,CO,O3,SO2
aotizhongxin_aq,2017-01-02 20:00:00,287.0,,149.0,6.3,,15.0
aotizhongxin_aq,2017-01-02 21:00:00,305.0,,149.0,0.6,4.0,13.0
aotizhongxin_aq,2017-01-02 22:00:00,304.0,,148.0,5.8,3.0,12.0
aotizhongxin_aq,2017-01-02 23:00:00,266.0,,139.0,5.7,3.0,12.0
aotizhongxin_aq,2017-01-03 00:00:00,240.0,,132.0,5.7,3.0,17.0
aotizhongxin_aq,2017-01-03 01:00:00,237.0,,131.0,6.5,4.0,29.0
aotizhongxin_aq,2017-01-03 02:00:00,232.0,,117.0,5.4,7.0,32.0
aotizhongxin_aq,2017-01-03 03:00:00,155.0,,88.0,3.1,19.0,27.0
aotizhongxin_aq,2017-01-03 04:00:00,167.0,,98.0,3.2,25.0,31.0
aotizhongxin_aq,2017-01-03 05:00:00,170.0,,100.0,0.3,35.0,28.0
aotizhongxin_aq,2017-01-03 06:00:00,179.0,,127.0,3.4,26.0,27.0
aotizhongxin_aq,2017-01-03 07:00:00,244.0,,183.0,4.7,15.0,28.0
aotizhongxin_aq,2017-01-03 08:00:00,296.0,334.0,190.0,5.1,16.0,26.0
aotizhongxin_aq,2017-01-03 09:00:00,295.0,,,4.6,,27.0
aotizhongxin_aq,2017-01-03 10:00:00,328.0,356.0,191.0,,3.0,
aotizhongxin_aq,2017-01-03 11:00:00,397.0,420.0,199.0,0.7,3.0,20.0
aotizhongxin_aq,2017-01-03 12:00:00,437.0,448.0,199.0,7.5,2.0,16.0
aotizhongxin_aq,2017-01-03 13:00:00,464.0,486.0,195.0,7.7,2.0,13.0
aotizhongxin_aq,2017-01-03 14:00:00,483.0,,200.0,8.2,3.0,12.0
aotizhongxin_aq,2017-01-03 15:00:00,447.0,476.0,196.0,8.7,3.0,11.0
aotizhongxin_aq,2017-01-03 16:00:00,440.0,493.0,188.0,8.9,2.0,10.0
aotizhongxin_aq,2017-01-03 17:00:00,463.0,502.0,190.0,8.6,2.0,9.0
aotizhongxin_aq,2017-01-03 18:00:00,,,,,,
aotizhongxin_aq,2017-01-03 19:00:00,463.0,504.0,193.0,9.6,2.0,11.0
aotizhongxin_aq,2017-01-03 20:00:00,473.0,539.0,195.0,9.7,,11.0
aotizhongxin_aq,2017-01-03 21:00:00,488.0,561.0,180.0,9.9,3.0,10.0
aotizhongxin_aq,2017-01-03 22:00:00,500.0,506.0,196.0,10.1,4.0,12.0
aotizhongxin_aq,2017-01-03 23:00:00,392.0,,158.0,7.5,2.0,12.0
aotizhongxin_aq,2017-01-04 00:00:00,338.0,,149.0,7.2,2.0,15.0
aotizhongxin_aq,2017-01-04 01:00:00,338.0,342.0,156.0,7.3,3.0,14.0
aotizhongxin_aq,2017-01-04 02:00:00,441.0,469.0,208.0,9.2,4.0,18.0
aotizhongxin_aq,2017-01-04 03:00:00,333.0,,154.0,5.6,9.0,27.0
aotizhongxin_aq,2017-01-04 04:00:00,167.0,,107.0,3.4,17.0,30.0
aotizhongxin_aq,2017-01-04 05:00:00,216.0,,131.0,0.4,27.0,31.0
aotizhongxin_aq,2017-01-04 06:00:00,291.0,,167.0,4.9,23.0,31.0
aotizhongxin_aq,2017-01-04 07:00:00,325.0,331.0,179.0,6.1,20.0,37.0
aotizhongxin_aq,2017-01-04 08:00:00,367.0,,179.0,7.1,16.0,43.0
aotizhongxin_aq,2017-01-04 09:00:00,322.0,,179.0,6.8,7.0,40.0
aotizhongxin_aq,2017-01-04 10:00:00,298.0,,175.0,6.6,2.0,29.0
aotizhongxin_aq,2017-01-04 11:00:00,304.0,,176.0,6.8,2.0,26.0
aotizhongxin_aq,2017-01-04 12:00:00,346.0,,186.0,0.8,2.0,18.0
aotizhongxin_aq,2017-01-04 13:00:00,356.0,,180.0,8.3,2.0,14.0
aotizhongxin_aq,2017-01-04 14:00:00,380.0,,164.0,9.1,2.0,10.0
aotizhongxin_aq,2017-01-04 15:00:00,328.0,,134.0,8.4,2.0,8.0
aotizhongxin_aq,2017-01-04 16:00:00,203.0,,114.0,7.2,2.0,7.0
aotizhongxin_aq,2017-01-04 17:00:00,168.0,,112.0,7.1,2.0,9.0
aotizhongxin_aq,2017-01-04 18:00:00,159.0,,114.0,5.7,2.0,5.0
aotizhongxin_aq,2017-01-04 19:00:00,168.0,,114.0,4.8,2.0,5.0
aotizhongxin_aq,2017-01-04 20:00:00,175.0,,114.0,4.8,,6.0
aotizhongxin_aq,2017-01-04 21:00:00,256.0,360.0,126.0,7.4,2.0,6.0
aotizhongxin_aq,2017-01-04 22:00:00,336.0,401.0,133.0,8.7,2.0,6.0
aotizhongxin_aq,2017-01-04 23:00:00,284.0,324.0,132.0,8.2,2.0,7.0
aotizhongxin_aq,2017-01-05 00:00:00,275.0,,133.0,7.9,2.0,9.0
aotizhongxin_aq,2017-01-05 01:00:00,271.0,,135.0,7.7,2.0,11.0
aotizhongxin_aq,2017-01-05 02:00:00,276.0,,134.0,7.6,2.0,12.0
aotizhongxin_aq,2017-01-05 03:00:00,267.0,,132.0,7.4,2.0,11.0
aotizhongxin_aq,2017-01-05 04:00:00,249.0,,129.0,0.7,2.0,11.0
aotizhongxin_aq,2017-01-05 05:00:00,239.0,,121.0,0.6,3.0,12.0
aotizhongxin_aq,2017-01-05 06:00:00,223.0,,112.0,5.3,6.0,13.0
aotizhongxin_aq,2017-01-05 07:00:00,206.0,,105.0,4.5,10.0,15.0
aotizhongxin_aq,2017-01-05 08:00:00,162.0,,96.0,3.8,13.0,20.0
aotizhongxin_aq,2017-01-05 09:00:00,184.0,,110.0,4.1,3.0,21.0
aotizhongxin_aq,2017-01-05 10:00:00,183.0,,119.0,4.1,2.0,21.0
aotizhongxin_aq,2017-01-05 11:00:00,191.0,199.0,122.0,4.5,2.0,20.0
aotizhongxin_aq,2017-01-05 12:00:00,219.0,,126.0,5.2,2.0,17.0
aotizhongxin_aq,2017-01-05 13:00:00,199.0,,122.0,4.7,2.0,16.0
aotizhongxin_aq,2017-01-05 14:00:00,180.0,,116.0,4.4,2.0,15.0
aotizhongxin_aq,2017-01-05 15:00:00,184.0,,116.0,4.9,2.0,12.0
aotizhongxin_aq,2017-01-05 16:00:00,184.0,,111.0,5.3,2.0,10.0
aotizhongxin_aq,2017-01-05 17:00:00,184.0,,111.0,0.5,2.0,10.0
aotizhongxin_aq,2017-01-05 18:00:00,176.0,,103.0,4.6,2.0,12.0
aotizhongxin_aq,2017-01-05 19:00:00,159.0,,98.0,3.8,2.0,14.0
aotizhongxin_aq,2017-01-05 20:00:00,158.0,,100.0,3.9,,18.0
aotizhongxin_aq,2017-01-05 21:00:00,171.0,,101.0,4.3,2.0,20.0
aotizhongxin_aq,2017-01-05 22:00:00,169.0,,100.0,4.5,2.0,20.0
aotizhongxin_aq,2017-01-05 23:00:00,177.0,,94.0,4.5,2.0,24.0
aotizhongxin_aq,2017-01-06 00:00:00,170.0,,94.0,4.2,2.0,26.0
aotizhongxin_aq,2017-01-06 01:00:00,175.0,,97.0,4.9,2.0,30.0
aotizhongxin_aq,2017-01-06 02:00:00,211.0,,105.0,5.7,2.0,31.0
aotizhongxin_aq,2017-01-06 03:00:00,216.0,,101.0,4.9,6.0,29.0
aotizhongxin_aq,2017-01-06 04:00:00,193.0,,92.0,0.4,16.0,29.0
aotizhongxin_aq,2017-01-06 05:00:00,188.0,,88.0,3.8,25.0,31.0
aotizhongxin_aq,2017-01-06 06:00:00,200.0,,113.0,4.1,16.0,33.0
aotizhongxin_aq,2017-01-06 07:00:00,214.0,,130.0,4.3,10.0,31.0
aotizhongxin_aq,2017-01-06 08:00:00,215.0,,131.0,2.7,5.0,27.0
aotizhongxin_aq,2017-01-06 09:00:00,221.0,,139.0,4.2,2.0,21.0
aotizhongxin_aq,2017-01-06 10:00:00,211.0,,140.0,4.3,2.0,17.0
aotizhongxin_aq,2017-01-06 11:00:00,217.0,,146.0,4.4,2.0,17.0
aotizhongxin_aq,2017-01-06 12:00:00,220.0,,152.0,4.2,2.0,22.0
aotizhongxin_aq,2017-01-06 13:00:00,235.0,,157.0,0.5,2.0,24.0
aotizhongxin_aq,2017-01-06 14:00:00,239.0,,153.0,4.8,2.0,25.0
aotizhongxin_aq,2017-01-06 15:00:00,235.0,,126.0,4.9,2.0,31.0
aotizhongxin_aq,2017-01-06 16:00:00,241.0,,123.0,5.3,2.0,38.0
aotizhongxin_aq,2017-01-06 17:00:00,239.0,,120.0,5.1,2.0,45.0
aotizhongxin_aq,2017-01-06 18:00:00,224.0,,116.0,0.5,2.0,39.0
aotizhongxin_aq,2017-01-06 19:00:00,208.0,,105.0,4.4,2.0,31.0
aotizhongxin_aq,2017-01-06 20:00:00,206.0,,91.0,3.8,,26.0
aotizhongxin_aq,2017-01-06 21:00:00,200.0,,96.0,3.9,2.0,25.0
aotizhongxin_aq,2017-01-06 22:00:00,181.0,,87.0,3.3,2.0,24.0
aotizhongxin_aq,2017-01-06 23:00:00,173.0,,86.0,3.5,2.0,21.0
aotizhongxin_aq,2017-01-07 00:00:00,166.0,,82.0,3.4,2.0,17.0
aotizhongxin_aq,2017-01-07 01:00:00,154.0,,82.0,3.1,2.0,20.0
aotizhongxin_aq,2017-01-07 02:00:00,142.0,,73.0,0.3,4.0,21.0
aotizhongxin_aq,2017-01-07 03:00:00,167.0,,77.0,3.2,9.0,24.0
aotizhongxin_aq,2017-01-07 04:00:00,196.0,,83.0,3.4,12.0,24.0
aotizhongxin_aq,2017-01-07 05:00:00,184.0,,75.0,0.3,15.0,17.0
aotizhongxin_aq,2017-01-07 06:00:00,156.0,,68.0,2.6,11.0,10.0
aotizhongxin_aq,2017-01-07 07:00:00,115.0,,65.0,2.2,7.0,8.0
aotizhongxin_aq,2017-01-07 08:00:00,99.0,,73.0,2.1,2.0,9.0
aotizhongxin_aq,2017-01-07 09:00:00,95.0,,67.0,1.9,13.0,8.0
aotizhongxin_aq,2017-01-07 10:00:00,102.0,,83.0,2.1,3.0,7.0
aotizhongxin_aq,2017-01-07 11:00:00,96.0,,71.0,1.9,7.0,6.0
aotizhongxin_aq,2017-01-07 12:00:00,100.0,,82.0,2.2,2.0,7.0
aotizhongxin_aq,2017-01-07 13:00:00,111.0,,83.0,2.5,2.0,7.0
aotizhongxin_aq,2017-01-07 14:00:00,93.0,,80.0,0.2,2.0,12.0
aotizhongxin_aq,2017-01-07 15:00:00,78.0,,77.0,1.9,2.0,18.0
aotizhongxin_aq,2017-01-07 16:00:00,66.0,,79.0,0.2,2.0,18.0
aotizhongxin_aq,2017-01-07 17:00:00,66.0,,66.0,1.3,6.0,19.0
aotizhongxin_aq,2017-01-07 18:00:00,22.0,,38.0,0.5,29.0,15.0
aotizhongxin_aq,2017-01-07 19:00:00,23.0,,41.0,0.4,25.0,12.0
aotizhongxin_aq,2017-01-07 20:00:00,19.0,,33.0,0.4,,11.0
aotizhongxin_aq,2017-01-07 21:00:00,24.0,,34.0,0.4,33.0,10.0
aotizhongxin_aq,2017-01-07 22:00:00,16.0,,25.0,0.4,45.0,9.0
aotizhongxin_aq,2017-01-07 23:00:00,15.0,,25.0,0.4,46.0,9.0
aotizhongxin_aq,2017-01-08 00:00:00,18.0,,28.0,0.5,45.0,10.0
aotizhongxin_aq,2017-01-08 01:00:00,20.0,,29.0,0.5,45.0,12.0
aotizhongxin_aq,2017-01-08 02:00:00,15.0,,27.0,0.5,52.0,13.0
aotizhongxin_aq,2017-01-08 03:00:00,22.0,,25.0,0.5,57.0,15.0
aotizhongxin_aq,2017-01-08 04:00:00,18.0,,22.0,0.5,63.0,15.0
aotizhongxin_aq,2017-01-08 05:00:00,28.0,,20.0,0.5,68.0,12.0
aotizhongxin_aq,2017-01-08 06:00:00,22.0,,19.0,0.5,73.0,10.0
aotizhongxin_aq,2017-01-08 07:00:00,17.0,,19.0,0.4,75.0,9.0
aotizhongxin_aq,2017-01-08 08:00:00,14.0,,18.0,0.3,79.0,8.0
aotizhongxin_aq,2017-01-08 09:00:00,13.0,,23.0,0.3,75.0,8.0
aotizhongxin_aq,2017-01-08 10:00:00,14.0,,28.0,0.4,69.0,8.0
aotizhongxin_aq,2017-01-08 11:00:00,15.0,,41.0,0.5,53.0,10.0
aotizhongxin_aq,2017-01-08 12:00:00,21.0,,46.0,0.6,48.0,12.0
aotizhongxin_aq,2017-01-08 13:00:00,15.0,,39.0,0.5,50.0,11.0
aotizhongxin_aq,2017-01-08 14:00:00,13.0,,25.0,0.3,65.0,7.0
aotizhongxin_aq,2017-01-08 15:00:00,10.0,,27.0,0.3,59.0,7.0
aotizhongxin_aq,2017-01-08 16:00:00,10.0,,33.0,0.3,50.0,6.0
aotizhongxin_aq,2017-01-08 17:00:00,8.0,,33.0,0.2,45.0,5.0
aotizhongxin_aq,2017-01-08 18:00:00,9.0,,36.0,0.3,39.0,4.0
aotizhongxin_aq,2017-01-08 19:00:00,11.0,,32.0,0.3,42.0,5.0
aotizhongxin_aq,2017-01-08 20:00:00,6.0,,20.0,0.3,,4.0
aotizhongxin_aq,2017-01-08 21:00:00,6.0,,28.0,0.2,49.0,4.0
aotizhongxin_aq,2017-01-08 22:00:00,10.0,,27.0,0.3,50.0,3.0
aotizhongxin_aq,2017-01-08 23:00:00,11.0,,30.0,0.3,45.0,3.0
aotizhongxin_aq,2017-01-09 00:00:00,9.0,,35.0,0.4,39.0,6.0
aotizhongxin_aq,2017-01-09 01:00:00,16.0,,28.0,0.4,47.0,6.0
aotizhongxin_aq,2017-01-09 02:00:00,13.0,,23.0,0.5,54.0,7.0
aotizhongxin_aq,2017-01-09 03:00:00,12.0,,20.0,0.4,60.0,6.0
aotizhongxin_aq,2017-01-09 04:00:00,,,,,,
aotizhongxin_aq,2017-01-09 05:00:00,7.0,,20.0,0.4,65.0,4.0
aotizhongxin_aq,2017-01-09 06:00:00,15.0,,34.0,0.5,56.0,4.0
aotizhongxin_aq,2017-01-09 07:00:00,17.0,43.0,34.0,0.5,58.0,6.0
aotizhongxin_aq,2017-01-09 08:00:00,34.0,,38.0,0.7,60.0,9.0
aotizhongxin_aq,2017-01-09 09:00:00,37.0,50.0,55.0,0.9,38.0,7.0
aotizhongxin_aq,2017-01-09 10:00:00,50.0,62.0,59.0,0.8,31.0,7.0
aotizhongxin_aq,2017-01-09 11:00:00,62.0,79.0,63.0,1.1,30.0,5.0
aotizhongxin_aq,2017-01-09 12:00:00,87.0,114.0,78.0,1.3,17.0,5.0
aotizhongxin_aq,2017-01-09 13:00:00,114.0,126.0,86.0,1.6,10.0,5.0
aotizhongxin_aq,2017-01-09 14:00:00,127.0,132.0,91.0,1.7,4.0,5.0
aotizhongxin_aq,2017-01-09 15:00:00,120.0,,95.0,1.8,2.0,5.0
aotizhongxin_aq,2017-01-09 16:00:00,51.0,105.0,89.0,1.3,2.0,13.0
aotizhongxin_aq,2017-01-09 17:00:00,70.0,,96.0,1.8,2.0,16.0
aotizhongxin_aq,2017-01-09 18:00:00,19.0,,44.0,0.6,34.0,4.0
aotizhongxin_aq,2017-01-09 19:00:00,7.0,7.0,17.0,0.2,61.0,2.0
aotizhongxin_aq,2017-01-09 20:00:00,5.0,20.0,29.0,0.3,,3.0
aotizhongxin_aq,2017-01-09 21:00:00,10.0,,43.0,0.3,35.0,5.0
aotizhongxin_aq,2017-01-09 22:00:00,10.0,,33.0,0.3,44.0,3.0
aotizhongxin_aq,2017-01-09 23:00:00,11.0,,27.0,0.3,52.0,5.0
aotizhongxin_aq,2017-01-10 00:00:00,8.0,,34.0,0.3,45.0,4.0
aotizhongxin_aq,2017-01-10 01:00:00,3.0,6.0,35.0,0.4,46.0,5.0
aotizhongxin_aq,2017-01-10 02:00:00,6.0,,24.0,0.3,60.0,3.0
aotizhongxin_aq,2017-01-10 03:00:00,3.0,6.0,12.0,0.3,73.0,2.0
aotizhongxin_aq,2017-01-10 04:00:00,3.0,6.0,9.0,0.2,78.0,2.0
aotizhongxin_aq,2017-01-10 05:00:00,3.0,6.0,6.0,0.3,,2.0
aotizhongxin_aq,2017-01-10 06:00:00,3.0,6.0,6.0,,69.0,
aotizhongxin_aq,2017-01-10 07:00:00,3.0,6.0,,,70.0,
aotizhongxin_aq,2017-01-10 08:00:00,5.0,,,0.3,65.0,4.0
aotizhongxin_aq,2017-01-10 09:00:00,7.0,9.0,19.0,0.4,,4.0
aotizhongxin_aq,2017-01-10 10:00:00,8.0,17.0,34.0,0.5,48.0,5.0
aotizhongxin_aq,2017-01-10 11:00:00,13.0,50.0,59.0,0.7,27.0,7.0
aotizhongxin_aq,2017-01-10 12:00:00,81.0,108.0,88.0,1.3,15.0,15.0
aotizhongxin_aq,2017-01-10 13:00:00,91.0,98.0,96.0,1.4,13.0,13.0
aotizhongxin_aq,2017-01-10 14:00:00,84.0,103.0,94.0,1.5,11.0,13.0
aotizhongxin_aq,2017-01-10 15:00:00,87.0,103.0,95.0,1.5,10.0,19.0
aotizhongxin_aq,2017-01-10 16:00:00,91.0,105.0,95.0,1.6,11.0,34.0
aotizhongxin_aq,2017-01-10 17:00:00,94.0,105.0,93.0,1.8,12.0,42.0
aotizhongxin_aq,2017-01-10 18:00:00,97.0,102.0,89.0,1.6,13.0,42.0
aotizhongxin_aq,2017-01-10 19:00:00,112.0,150.0,104.0,3.1,14.0,29.0
aotizhongxin_aq,2017-01-10 20:00:00,98.0,128.0,106.0,3.5,,29.0
aotizhongxin_aq,2017-01-10 21:00:00,68.0,87.0,97.0,2.8,11.0,32.0
aotizhongxin_aq,2017-01-10 22:00:00,60.0,75.0,95.0,2.5,9.0,30.0
aotizhongxin_aq,2017-01-10 23:00:00,33.0,40.0,78.0,1.5,4.0,18.0
aotizhongxin_aq,2017-01-11 00:00:00,28.0,,73.0,1.1,4.0,12.0
aotizhongxin_aq,2017-01-11 01:00:00,20.0,29.0,68.0,1.1,9.0,15.0
aotizhongxin_aq,2017-01-11 02:00:00,32.0,54.0,78.0,1.8,9.0,17.0
aotizhongxin_aq,2017-01-11 03:00:00,3.0,6.0,,2.1,14.0,19.0
aotizhongxin_aq,2017-01-11 04:00:00,3.0,6.0,81.0,1.8,22.0,20.0
aotizhongxin_aq,2017-01-11 05:00:00,44.0,55.0,81.0,,36.0,18.0
aotizhongxin_aq,2017-01-11 06:00:00,37.0,,73.0,,35.0,26.0
aotizhongxin_aq,2017-01-11 07:00:00,46.0,55.0,73.0,,38.0,24.0
aotizhongxin_aq,2017-01-11 08:00:00,53.0,63.0,100.0,,21.0,15.0
aotizhongxin_aq,2017-01-11 09:00:00,77.0,106.0,106.0,,25.0,27.0
aotizhongxin_aq,2017-01-11 10:00:00,66.0,63.0,97.0,,21.0,27.0
aotizhongxin_aq,2017-01-11 11:00:00,44.0,60.0,72.0,,41.0,23.0
aotizhongxin_aq,2017-01-11 12:00:00,33.0,37.0,77.0,,33.0,19.0
aotizhongxin_aq,2017-01-11 13:00:00,23.0,40.0,73.0,,36.0,17.0
aotizhongxin_aq,2017-01-11 14:00:00,27.0,43.0,88.0,,13.0,12.0
aotizhongxin_aq,2017-01-11 15:00:00,30.0,53.0,93.0,,8.0,14.0
aotizhongxin_aq,2017-01-11 16:00:00,37.0,49.0,88.0,,5.0,27.0
aotizhongxin_aq,2017-01-11 17:00:00,29.0,41.0,93.0,,11.0,19.0
aotizhongxin_aq,2017-01-11 18:00:00,18.0,38.0,96.0,,13.0,17.0
aotizhongxin_aq,2017-01-11 19:00:00,26.0,44.0,94.0,,13.0,26.0
aotizhongxin_aq,2017-01-11 20:00:00,37.0,39.0,96.0,,,27.0
aotizhongxin_aq,2017-01-11 21:00:00,26.0,42.0,88.0,,14.0,12.0
aotizhongxin_aq,2017-01-11 22:00:00,17.0,33.0,85.0,,23.0,19.0
aotizhongxin_aq,2017-01-11 23:00:00,19.0,37.0,49.0,,51.0,10.0
aotizhongxin_aq,2017-01-12 00:00:00,16.0,44.0,66.0,,32.0,19.0
aotizhongxin_aq,2017-01-12 01:00:00,15.0,59.0,58.0,,45.0,9.0
aotizhongxin_aq,2017-01-12 02:00:00,21.0,47.0,32.0,,60.0,18.0
aotizhongxin_aq,2017-01-12 03:00:00,20.0,33.0,29.0,,81.0,13.0
aotizhongxin_aq,2017-01-12 04:00:00,31.0,39.0,23.0,,80.0,20.0
aotizhongxin_aq,2017-01-12 05:00:00,42.0,73.0,45.0,,77.0,16.0
aotizhongxin_aq,2017-01-12 06:00:00,78.0,85.0,67.0,,68.0,30.0
aotizhongxin_aq,2017-01-12 07:00:00,83.0,92.0,67.0,,66.0,23.0
aotizhongxin_aq,2017-01-12 08:00:00,83.0,103.0,84.0,,48.0,27.0
aotizhongxin_aq,2017-01-12 09:00:00,89.0,110.0,98.0,,34.0,26.0
aotizhongxin_aq,2017-01-12 10:00:00,96.0,119.0,117.0,,30.0,23.0
aotizhongxin_aq,2017-01-12 11:00:00,118.0,144.0,108.0,,25.0,30.0
aotizhongxin_aq,2017-01-12 12:00:00,113.0,131.0,110.0,,22.0,32.0
aotizhongxin_aq,2017-01-12 13:00:00,22.0,78.0,32.0,,77.0,13.0
aotizhongxin_aq,2017-01-12 14:00:00,16.0,39.0,22.0,,84.0,7.0
aotizhongxin_aq,2017-01-12 15:00:00,15.0,25.0,20.0,,82.0,10.0
aotizhongxin_aq,2017-01-12 16:00:00,16.0,13.0,28.0,,71.0,9.0
aotizhongxin_aq,2017-01-12 17:00:00,9.0,26.0,40.0,,67.0,10.0
aotizhongxin_aq,2017-01-12 18:00:00,9.0,23.0,33.0,,69.0,20.0
aotizhongxin_aq,2017-01-12 19:00:00,6.0,12.0,28.0,,75.0,6.0
aotizhongxin_aq,2017-01-12 20:00:00,8.0,14.0,18.0,,,17.0
aotizhongxin_aq,2017-01-12 21:00:00,7.0,17.0,16.0,,86.0,17.0
aotizhongxin_aq,2017-01-12 22:00:00,5.0,26.0,27.0,,67.0,7.0
aotizhongxin_aq,2017-01-12 23:00:00,17.0,21.0,42.0,,60.0,21.0
aotizhongxin_aq,2017-01-13 00:00:00,22.0,37.0,50.0,,51.0,19.0
aotizhongxin_aq,2017-01-13 01:00:00,8.0,36.0,26.0,,62.0,21.0
aotizhongxin_aq,2017-01-13 02:00:00,16.0,24.0,25.0,,74.0,15.0
aotizhongxin_aq,2017-01-13 03:00:00,17.0,31.0,25.0,,76.0,19.0
aotizhongxin_aq,2017-01-13 04:00:00,16.0,15.0,21.0,,86.0,16.0
aotizhongxin_aq,2017-01-13 05:00:00,7.0,30.0,8.0,,94.0,14.0
aotizhongxin_aq,2017-01-13 06:00:00,15.0,35.0,7.0,,87.0,6.0
aotizhongxin_aq,2017-01-13 07:00:00,9.0,35.0,20.0,,89.0,12.0
aotizhongxin_aq,2017-01-13 08:00:00,7.0,32.0,14.0,,91.0,18.0
aotizhongxin_aq,2017-01-13 09:00:00,6.0,20.0,13.0,,84.0,12.0
aotizhongxin_aq,2017-01-13 10:00:00,12.0,33.0,26.0,,62.0,17.0
aotizhongxin_aq,2017-01-13 11:00:00,13.0,36.0,27.0,,66.0,9.0
aotizhongxin_aq,2017-01-13 12:00:00,21.0,37.0,42.0,,57.0,19.0
aotizhongxin_aq,2017-01-13 13:00:00,21.0,26.0,42.0,,50.0,25.0
aotizhongxin_aq,2017-01-13 14:00:00,10.0,26.0,44.0,,60.0,26.0
aotizhongxin_aq,2017-01-13 15:00:00,16.0,26.0,36.0,,51.0,23.0
aotizhongxin_aq,2017-01-13 16:00:00,17.0,26.0,40.0,,48.0,12.0
aotizhongxin_aq,2017-01-13 17:00:00,13.0,35.0,39.0,,49.0,21.0
aotizhongxin_aq,2017-01-13 18:00:00,17.0,38.0,43.0,,43.0,19.0
aotizhongxin_aq,2017-01-13 19:00:00,8.0,28.0,54.0,,43.0,21.0
aotizhongxin_aq,2017-01-13 20:00:00,21.0,31.0,56.0,,,11.0
aotizhongxin_aq,2017-01-13 21:00:00,18.0,,46.0,,46.0,14.0
aotizhongxin_aq,2017-01-13 22:00:00,11.0,12.0,50.0,,46.0,11.0
aotizhongxin_aq,2017-01-13 23:00:00,9.0,16.0,56.0,,38.0,18.0
aotizhongxin_aq,2017-01-14 00:00:00,13.0,40.0,68.0,,26.0,14.0
aotizhongxin_aq,2017-01-14 01:00:00,27.0,44.0,74.0,,15.0,28.0
aotizhongxin_aq,2017-01-14 02:00:00,35.0,53.0,69.0,,32.0,24.0
aotizhongxin_aq,2017-01-14 03:00:00,25.0,,38.0,,55.0,15.0
aotizhongxin_aq,2017-01-14 04:00:00,24.0,24.0,27.0,,67.0,4.0
aotizhongxin_aq,2017-01-14 05:00:00,15.0,9.0,30.0,,71.0,9.0
aotizhongxin_aq,2017-01-14 06:00:00,13.0,10.0,36.0,,74.0,12.0
aotizhongxin_aq,2017-01-14 07:00:00,16.0,26.0,24.0,,68.0,3.0
aotizhongxin_aq,2017-01-14 08:00:00,7.0,16.0,33.0,,66.0,10.0
aotizhongxin_aq,2017-01-14 09:00:00,24.0,43.0,42.0,,57.0,4.0
